Date,Close
1/2/2020,28.684
1/3/2020,29.534
1/6/2020,30.102667
1/7/2020,31.270666
1/8/2020,32.809334
1/9/2020,32.089333
1/10/2020,31.876667
1/13/2020,34.990665
1/14/2020,35.861332
1/15/2020,34.566666
1/16/2020,34.232666
1/17/2020,34.033333
1/21/2020,36.48
1/22/2020,37.970669
1/23/2020,38.146667
1/24/2020,37.654667
1/27/2020,37.201332
1/28/2020,37.793331
1/29/2020,38.732666
1/30/2020,42.720669
1/31/2020,43.371334
2/3/2020,52
2/4/2020,59.137333
2/5/2020,48.98
2/6/2020,49.930668
2/7/2020,49.871334
2/10/2020,51.418667
2/11/2020,51.625332
2/12/2020,51.152668
2/13/2020,53.599998
2/14/2020,53.335335
2/18/2020,57.226665
2/19/2020,61.161331
2/20/2020,59.960667
2/21/2020,60.066666
2/24/2020,55.585999
2/25/2020,53.327332
2/26/2020,51.919998
2/27/2020,45.266666
2/28/2020,44.532665
3/2/2020,49.574669
3/3/2020,49.700668
3/4/2020,49.966667
3/5/2020,48.302666
3/6/2020,46.898666
3/9/2020,40.533333
3/10/2020,43.021999
3/11/2020,42.282001
3/12/2020,37.369999
3/13/2020,36.441334
3/16/2020,29.671333
3/17/2020,28.68
3/18/2020,24.081333
3/19/2020,28.509333
3/20/2020,28.502001
3/23/2020,28.952667
3/24/2020,33.666668
3/25/2020,35.950001
3/26/2020,35.210667
3/27/2020,34.290668
3/30/2020,33.475334
3/31/2020,34.933334
4/1/2020,32.104
4/2/2020,30.298
4/3/2020,32.000668
4/6/2020,34.416
4/7/2020,36.363335
4/8/2020,36.589333
4/9/2020,38.200001
4/13/2020,43.396667
4/14/2020,47.326
4/15/2020,48.655334
4/16/2020,49.680668
4/17/2020,50.259335
4/20/2020,49.757332
4/21/2020,45.781334
4/22/2020,48.807335
4/23/2020,47.042
4/24/2020,48.343334
4/27/2020,53.25
4/28/2020,51.274666
4/29/2020,53.367332
4/30/2020,52.125332
5/1/2020,46.754665
5/4/2020,50.745998
5/5/2020,51.214001
5/6/2020,52.172001
5/7/2020,52.002666
5/8/2020,54.627998
5/11/2020,54.085999
5/12/2020,53.960667
5/13/2020,52.730667
5/14/2020,53.555332
5/15/2020,53.278
5/18/2020,54.242001
5/19/2020,53.867332
5/20/2020,54.370667
5/21/2020,55.173332
5/22/2020,54.458668
5/26/2020,54.591331
5/27/2020,54.681999
5/28/2020,53.720669
5/29/2020,55.666668
6/1/2020,59.873333
6/2/2020,58.770668
6/3/2020,58.863998
6/4/2020,57.625332
6/5/2020,59.043999
6/8/2020,63.327999
6/9/2020,62.711334
6/10/2020,68.33667
6/11/2020,64.856003
6/12/2020,62.352001
6/15/2020,66.059998
6/16/2020,65.475334
6/17/2020,66.119331
6/18/2020,66.930664
6/19/2020,66.726669
6/22/2020,66.288002
6/23/2020,66.785332
6/24/2020,64.056664
6/25/2020,65.732002
6/26/2020,63.982666
6/29/2020,67.290001
6/30/2020,71.987335
7/1/2020,74.641998
7/2/2020,80.577332
7/6/2020,91.438667
7/7/2020,92.657333
7/8/2020,91.05867
7/9/2020,92.952003
7/10/2020,102.976669
7/13/2020,99.804001
7/14/2020,101.120003
7/15/2020,103.067329
7/16/2020,100.042664
7/17/2020,100.056
7/20/2020,109.533333
7/21/2020,104.557335
7/22/2020,106.155334
7/23/2020,100.87133
7/24/2020,94.466667
7/27/2020,102.639999
7/28/2020,98.432671
7/29/2020,99.940666
7/30/2020,99.166
7/31/2020,95.384003
8/3/2020,99
8/4/2020,99.133331
8/5/2020,99.001335
8/6/2020,99.305336
8/7/2020,96.847336
8/10/2020,94.571335
8/11/2020,91.625999
8/12/2020,103.650665
8/13/2020,108.066666
8/14/2020,110.047333
8/17/2020,122.375999
8/18/2020,125.806
8/19/2020,125.235336
8/20/2020,133.455338
8/21/2020,136.665329
8/24/2020,134.279999
8/25/2020,134.889328
8/26/2020,143.544662
8/27/2020,149.25
8/28/2020,147.559998
8/31/2020,166.106674
9/1/2020,158.350006
9/2/2020,149.123337
9/3/2020,135.666672
9/4/2020,139.440002
9/8/2020,110.07
9/9/2020,122.09333
9/10/2020,123.779999
9/11/2020,124.239998
9/14/2020,139.873337
9/15/2020,149.919998
9/16/2020,147.253326
9/17/2020,141.143326
9/18/2020,147.383331
9/21/2020,149.796661
9/22/2020,141.410004
9/23/2020,126.786667
9/24/2020,129.263336
9/25/2020,135.779999
9/28/2020,140.399994
9/29/2020,139.690002
9/30/2020,143.003326
10/1/2020,149.386673
10/2/2020,138.363327
10/5/2020,141.893326
10/6/2020,137.993332
10/7/2020,141.766663
10/8/2020,141.973328
10/9/2020,144.666672
10/12/2020,147.433334
10/13/2020,148.883331
10/14/2020,153.766663
10/15/2020,149.626663
10/16/2020,146.556671
10/19/2020,143.610001
10/20/2020,140.646667
10/21/2020,140.880005
10/22/2020,141.929993
10/23/2020,140.210007
10/26/2020,140.093338
10/27/2020,141.559998
10/28/2020,135.339996
10/29/2020,136.943329
10/30/2020,129.346664
11/2/2020,133.503326
11/3/2020,141.300003
11/4/2020,140.32666
11/5/2020,146.029999
11/6/2020,143.316666
11/9/2020,140.419998
11/10/2020,136.786667
11/11/2020,139.043335
11/12/2020,137.253326
11/13/2020,136.166672
11/16/2020,136.029999
11/17/2020,147.203339
11/18/2020,162.213333
11/19/2020,166.42334
11/20/2020,163.203339
11/23/2020,173.949997
11/24/2020,185.126663
11/25/2020,191.333328
11/27/2020,195.253326
11/30/2020,189.199997
12/1/2020,194.919998
12/2/2020,189.606674
12/3/2020,197.793335
12/4/2020,199.679993
12/7/2020,213.919998
12/8/2020,216.626663
12/9/2020,201.493332
12/10/2020,209.023331
12/11/2020,203.330002
12/14/2020,213.276672
12/15/2020,211.083328
12/16/2020,207.589996
12/17/2020,218.633331
12/18/2020,231.666672
12/21/2020,216.619995
12/22/2020,213.446671
12/23/2020,215.32666
12/24/2020,220.589996
12/28/2020,221.229996
12/29/2020,221.996674
12/30/2020,231.593338
12/31/2020,235.223328
1/4/2021,243.256668
1/5/2021,245.036667
1/6/2021,251.993332
1/7/2021,272.013336
1/8/2021,293.339996
1/11/2021,270.396667
1/12/2021,283.146667
1/13/2021,284.803345
1/14/2021,281.666656
1/15/2021,275.386658
1/19/2021,281.516663
1/20/2021,283.483337
1/21/2021,281.66333
1/22/2021,282.213318
1/25/2021,293.600006
1/26/2021,294.363342
1/27/2021,288.053345
1/28/2021,278.476654
1/29/2021,264.51001
2/1/2021,279.936676
2/2/2021,290.929993
2/3/2021,284.896667
2/4/2021,283.329987
2/5/2021,284.07666
2/8/2021,287.806671
2/9/2021,283.15332
2/10/2021,268.273346
2/11/2021,270.553345
2/12/2021,272.040009
2/16/2021,265.406677
2/17/2021,266.049988
2/18/2021,262.459991
2/19/2021,260.433319
2/22/2021,238.166672
2/23/2021,232.946671
2/24/2021,247.339996
2/25/2021,227.406662
2/26/2021,225.166672
3/1/2021,239.476669
3/2/2021,228.813339
3/3/2021,217.733337
3/4/2021,207.146667
3/5/2021,199.316666
3/8/2021,187.666672
3/9/2021,224.526672
3/10/2021,222.686661
3/11/2021,233.199997
3/12/2021,231.243332
3/15/2021,235.979996
3/16/2021,225.626663
3/17/2021,233.936661
3/18/2021,217.720001
3/19/2021,218.289993
3/22/2021,223.333328
3/23/2021,220.720001
3/24/2021,210.089996
3/25/2021,213.463333
3/26/2021,206.236664
3/29/2021,203.763336
